Date,ob,oe
1/6/2020,7410.452148,136.305542
1/7/2020,7768.682129,144.311996
1/8/2020,8161.935547,143.487823
1/9/2020,8082.295898,141.155777
1/10/2020,7878.307617,138.967041
1/11/2020,8162.190918,143.409103
1/12/2020,8033.261719,143.032547
1/13/2020,8189.771973,146.220139
1/14/2020,8140.933105,144.251053
1/15/2020,8825.34375,165.734619
1/16/2020,8812.481445,166.332825
1/17/2020,8725.209961,164.48938
1/18/2020,8927.211914,170.747726
1/19/2020,8941.445313,175.46759
1/20/2020,8704.631836,166.904129
1/21/2020,8658.991211,167.060471
1/22/2020,8744.210938,169.608536
1/23/2020,8680.650391,168.2957
1/24/2020,8405.567383,162.899368
1/25/2020,8440.119141,163.067291
1/26/2020,8364.410156,161.176819
1/27/2020,8597.308594,168.00885
1/28/2020,8912.524414,170.884857
1/29/2020,9357.470703,176.347885
1/30/2020,9316.016602,174.917709
1/31/2020,9508.313477,184.736908
2/1/2020,9346.357422,180.11377
2/2/2020,9389.820313,183.532501
2/3/2020,9344.683594,188.607407
2/4/2020,9292.841797,189.861725
2/5/2020,9183.416016,189.299103
2/6/2020,9617.821289,204.1297
2/7/2020,9726.00293,212.315887
2/8/2020,9793.070313,222.510971
2/9/2020,9863.894531,222.982239
2/10/2020,10115.55957,228.549133
2/11/2020,9855.891602,223.384933
2/12/2020,10202.3877,235.898224
2/13/2020,10323.96094,265.052704
2/14/2020,10211.55078,268.023285
